                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1743,                 23.456,                 2.6656,                0.01423,                 0.0614,                0.02413,                0.00489,                  3.042,                 28.921,                 2.9765,                  9e-05,                  9e-05,                  9e-05
                      2,                 1.9907,                 4.6896,                  1.652,                0.49196,                0.32893,                0.22949,                0.15809,                 2.0098,                 14.244,                 1.2347,             0.00018248,             0.00018248,             0.00018248
                      3,                  1.545,                 2.7818,                 1.2887,                0.31616,                0.34848,                0.22135,                0.14646,                 1.8533,                 9.1891,                  1.091,             0.00026703,             0.00026703,             0.00026703
                      4,                 1.4412,                 2.3176,                 1.1752,                0.40638,                0.36626,                0.26264,                0.17152,                 1.7384,                 8.1645,                 1.0536,             0.00034367,             0.00034367,             0.00034367
                      5,                 1.5574,                 2.2773,                 1.1818,                0.68252,                0.40323,                0.30186,                0.23026,                 1.5772,                 4.0674,                 1.0034,             0.00041238,             0.00041238,             0.00041238
                      6,                 1.3903,                 1.9108,                 1.1368,                0.68857,                0.44624,                0.28514,                0.19449,                 1.5585,                 3.8322,                 1.0281,             0.00047318,             0.00047318,             0.00047318
                      7,                 1.3215,                 1.8119,                 1.1451,                 0.7375,                0.42473,                0.33527,                0.22012,                 1.5195,                 2.2676,                 1.0313,             0.00052606,             0.00052606,             0.00052606
                      8,                  1.392,                 1.6606,                 1.1268,                0.70466,                0.37295,                 0.3108,                0.21314,                  1.487,                 2.2466,                 1.0606,             0.00057101,             0.00057101,             0.00057101
                      9,                 1.3666,                 1.5893,                 1.1452,                0.64781,                0.37903,                0.32078,                0.21324,                 1.5401,                 2.5441,                 1.0398,             0.00060805,             0.00060805,             0.00060805
                     10,                 1.3843,                  1.684,                 1.1764,                0.76344,                 0.3815,                0.32618,                0.20998,                 1.5597,                 1.7521,                 1.0038,             0.00063716,             0.00063716,             0.00063716
                     11,                 1.4061,                 1.5357,                 1.1436,                0.74285,                0.39307,                0.40797,                 0.2669,                 1.5704,                  1.778,                 1.0412,               0.000604,               0.000604,               0.000604
                     12,                 1.3786,                 1.5257,                 1.1494,                0.74339,                0.44701,                 0.4194,                0.27439,                 1.3308,                 1.7258,                0.94532,               0.000604,               0.000604,               0.000604
                     13,                 1.4179,                 2.0559,                 1.1233,                 0.8091,                0.38446,                0.48879,                0.30162,                 1.4888,                 1.5329,                0.97837,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.0907,                 1.7598,                0.97392,                 0.8572,                0.35101,                0.45012,                0.30131,                 1.3828,                 1.4793,                0.98727,              0.0005248,              0.0005248,              0.0005248
                     15,                 1.2437,                 1.3963,                 1.0787,                0.81204,                0.40805,                0.42512,                0.28893,                  1.301,                 1.3427,                0.96298,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.2282,                  1.332,                 1.0368,                0.82449,                0.41914,                0.44519,                0.27368,                 1.3346,                 1.5344,                0.96003,              0.0004456,              0.0004456,              0.0004456
                     17,                 1.2084,                 1.3977,                 1.0265,                0.82464,                0.42065,                0.47368,                0.32285,                 1.1942,                 1.6445,                0.93983,               0.000406,               0.000406,               0.000406
                     18,                 1.0978,                 1.2444,                 1.0013,                 0.8209,                0.40719,                0.44661,                0.30145,                 1.1792,                 1.2735,                0.93525,              0.0003664,              0.0003664,              0.0003664
                     19,                 1.0847,                 1.1638,                0.98491,                0.81896,                 0.4273,                0.51024,                0.34306,                 1.2409,                 1.3076,                0.93182,              0.0003268,              0.0003268,              0.0003268
                     20,                 1.0951,                 1.1126,                0.98121,                0.84776,                0.39992,                0.44394,                0.31343,                 1.2399,                 1.2761,                0.93708,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.0453,                 1.0548,                0.95846,                0.86913,                0.37673,                0.46765,                0.33265,                 1.1546,                 1.0815,                0.92687,              0.0002476,              0.0002476,              0.0002476
                     22,                 1.0471,                  1.143,                 0.9566,                0.74471,                0.48565,                0.52497,                0.36029,                   1.07,                0.96067,                 0.8956,               0.000208,               0.000208,               0.000208
                     23,                0.97979,                 1.0211,                0.94835,                0.78501,                0.47529,                0.54116,                0.36656,                  1.055,                 0.9548,                0.88911,              0.0001684,              0.0001684,              0.0001684
                     24,                0.99652,                 1.0352,                0.94521,                0.74385,                0.47291,                0.52636,                0.38147,                 1.1098,                 1.0633,                0.89107,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.0145,                 1.0487,                0.96407,                0.68223,                0.53497,                0.54065,                0.38167,                 1.1161,                 1.0259,                0.89195,               8.92e-05,               8.92e-05,               8.92e-05
